Team,Season,nfelo,QB Adj,Value,WoW,YTD,Play,Pass,Rush,Play,Pass,Rush,Play,For,Against,Dif,Wins,Pythag,Elo,Film
BAL,2025,1529.01,-121.251,1.19218,-5.64714,-5.28686,0.1924,0.1603,0.0968993,0.1434,0.1318,0.124763,0.049,32.75,33.25,-0.5,1,1.9641,2.97971,2
SF,2025,1528.7,1.2851,1.1799,-0.939922,0.414941,-0.027,0.102,-0.153824,-0.0622,-0.1023,-0.0276544,0.0351,20,18.75,1.25,3,2.1527,2.48269,2
MIN,2025,1522.43,-12.0208,0.928892,-0.233169,0.200444,-0.0888,-0.1666,-0.00632585,-0.164,-0.4432,0.0562557,0.0752,25.5,20,5.5,2,2.5604,3.0514,2
TB,2025,1512.49,5.5809,0.531318,-0.346182,0.297969,-0.0452,0.0568,-0.00391474,-0.0371,-0.0318,-0.106118,-0.0082,24.25,24.25,0,3,2,2.47661,2
IND,2025,1511.77,17.0041,0.502529,-0.385918,3.57489,0.1981,0.2575,0.0651397,-0.0144,-0.0428,-0.0463098,0.2125,30.75,20.75,10,3,2.8701,2.62993,3
PIT,2025,1499.63,5.374,0.0168408,0.0194531,-0.0553711,0.0563,0.0576,-0.0502174,0.0483,0.125,-0.0613683,0.008,24,24.5,-0.5,3,1.9511,2.07325,2
HOU,2025,1498.79,-5.5316,-0.0168408,0.732256,0.178647,-0.0919,-0.1138,0.00829596,-0.1708,-0.1852,0.0441437,0.0789,16,12.75,3.25,1,2.5255,2.572,2
JAX,2025,1493.23,-5.67,-0.239131,0.948965,1.70849,0.0021,0.0159,0.0400924,-0.1117,-0.1765,-0.0546043,0.1138,24,18,6,3,2.6566,2.02468,4
DAL,2025,1487.72,20.9051,-0.459253,0.726597,0.52335,0.1681,0.1835,0.033852,0.2655,0.4303,0.0582805,-0.0974,28.5,33,-4.5,1,1.656,2.26148,1
CHI,2025,1484.8,14.8845,-0.576128,0.0194531,0.739272,-0.0486,0.0728,-0.148166,0.0301,0.0175,-0.0000414163,-0.0787,25.25,29.25,-4,2,1.655,1.51389,2
ARI,2025,1477.19,-7.2333,-0.880728,-0.88334,-1.07129,0.0145,0.0288,-0.0106244,-0.0218,0.0638,-0.152921,0.0363,20.5,18.5,2,2,2.2421,2.98775,2
ATL,2025,1464.59,-16.631,-1.38467,0.019453,-0.305498,-0.0416,-0.026,-0.0295304,-0.0051,-0.1403,0.0483678,-0.0364,19,21.5,-2.5,2,1.7091,1.60193,3
NE,2025,1457.16,13.9775,-1.68166,1.42974,1.36834,0.0796,0.2782,-0.134922,-0.0038,0.2084,-0.1464,0.0834,25.5,20.25,5.25,2,2.5331,2.14976,1
MIA,2025,1450.59,-0.9878,-1.9447,0.450781,-1.70805,0.0687,0.0351,0.0345744,0.2412,0.4135,0.139037,-0.1725,20.75,29.5,-8.75,1,1.2113,2.40751,2
NYJ,2025,1440.53,9.667,-2.34706,0.236192,0.815161,0.008,0.0338,-0.0546434,0.1619,0.2624,-0.0262153,-0.1538,22.5,30,-7.5,0,1.3434,2.07714,1
CIN,2025,1418.95,-75.9309,-3.21027,-1.07814,-4.88268,-0.2236,-0.3861,-0.147197,0.0648,0.1442,0.0421387,-0.2884,15.25,29.75,-14.5,2,0.6811,2.73067,1
OAK,2025,1418.2,-2.6748,-3.24016,-0.175132,-0.802808,-0.1116,-0.0429,-0.189466,-0.0002,0.1478,-0.218599,-0.1113,19.25,24.75,-5.5,1,1.4214,1.91688,2
CAR,2025,1358.22,1.4041,-5.63939,-1.18108,-0.0380664,-0.0752,-0.0912,-0.049981,-0.0171,0.0344,0.0481194,-0.0581,18.75,23.75,-5,1,1.454,1.94312,1
NO,2025,1348.54,-5.3726,-6.02684,0.331567,0.000893593,-0.1526,-0.1594,0.00771839,0.1039,0.2271,-0.0615721,-0.2565,16.5,30.25,-13.75,0,0.7683,1.76859,0
NYG,2025,1330.37,-48.9609,-6.7536,0.859487,-2.0134,-0.0173,-0.1209,-0.0886699,0.0864,-0.0089,0.202907,-0.1038,18.25,25.25,-7,1,1.2664,1.34765,2
CLE,2025,1329.86,-57.59,-6.77377,-2.30037,-2.1956,-0.2603,-0.3355,0.0130491,-0.051,0.0678,-0.170954,-0.2093,14,25.5,-11.5,1,0.778,1.20959,1
TEN,2025,1301.45,-18.0236,-7.91021,-0.681343,-3.07714,-0.2238,-0.394,-0.089622,0.1214,0.1666,0.0709535,-0.3451,12.75,30,-17.25,0,0.4652,1.32205,0
