Team,Season,nfelo,QB Adj,Value,WoW,YTD,Play,Pass,Rush,Play,Pass,Rush,Play,For,Against,Dif,Wins,Pythag,Elo,Film
CIN,2025,1535.51,-1.9516,1.72133,0.0490381,0.0490381,-0.0923,-0.0144,-0.217519,-0.1117,-0.0409,-0.0747177,0.0194,17,16,1,1,0.5359,1.34831,1
MIN,2025,1530.51,-6.3347,1.5211,0.792837,0.792837,-0.0933,-0.4462,0.0305803,-0.158,-0.2008,0.0973534,0.0647,27,24,3,1,0.5693,1.37744,1
TB,2025,1525.43,1.3088,1.31813,1.08489,1.08489,0.1005,0.18,0.022,0.0139,0.2278,-0.205946,0.0866,23,20,3,1,0.5821,1.05509,1
ARI,2025,1524.27,2.845,1.27151,1.08105,1.08105,0.0213,0.0526,0.0429089,-0.1252,-0.0857,0.0364713,0.1465,20,13,7,1,0.7352,1.2411,1
PIT,2025,1515.08,21.0502,0.904009,0.831704,0.831704,0.2936,0.3402,-0.152543,0.1973,0.4371,0.0878117,0.0963,34,32,2,1,0.5359,1.11535,0
HOU,2025,1496.01,-8.5731,0.141338,0.336948,0.336948,-0.1617,-0.3185,0.0389591,-0.0982,0.0682,-0.251313,-0.0636,9,14,-5,0,0.2598,0.92283,0
SEA,2025,1488.95,-8.7741,-0.141333,-0.0690332,-0.0690332,-0.1101,-0.4399,-0.114363,0.0144,0.3809,-0.151634,-0.1246,13,17,-4,0,0.3462,1.02939,1
DAL,2025,1486.46,8.9723,-0.240674,0.742026,0.742026,0.1834,0.0487,0.0344037,0.2125,0.0692,0.159076,-0.029,20,24,-4,0,0.3936,0.895535,0
ATL,2025,1480.44,-2.5649,-0.481699,0.597622,0.597622,0.0139,0.2278,-0.205946,0.1005,0.18,0.022,-0.0866,20,23,-3,0,0.4179,0.685844,1
SF,2025,1480.31,-61.1321,-0.486885,-1.25173,-1.25173,0.0144,0.3809,-0.151634,-0.1101,-0.4399,-0.114363,0.1246,17,13,4,1,0.6538,0.90013,0
CHI,2025,1479.94,6.4266,-0.501616,0.813906,0.813906,-0.158,-0.2008,0.0973534,-0.0933,-0.4462,0.0305803,-0.0647,24,27,-3,0,0.4307,0.577221,0
IND,2025,1478.56,8.8438,-0.556582,2.51586,2.51586,0.3053,0.4482,0.138052,-0.1894,-0.5045,0.33932,0.4946,33,8,25,1,0.9664,0.959438,1
JAX,2025,1465.71,-1.2969,-1.07089,0.876851,0.876851,0.1165,0.0424,0.205693,-0.135,-0.4401,0.000796299,0.2516,26,10,16,1,0.9059,0.888363,1
OAK,2025,1460.42,13.1383,-1.28223,1.15522,1.15522,0.1054,0.4396,-0.306992,-0.0662,-0.0071,-0.231529,0.1716,20,13,7,1,0.7352,0.769501,1
MIA,2025,1454.49,-4.4272,-1.5195,-1.28273,-1.28273,-0.1894,-0.5045,0.33932,0.3053,0.4482,0.138052,-0.4946,8,33,-25,0,0.0336,1.13016,0
NYJ,2025,1439.01,7.8959,-2.13859,1.02381,1.02381,0.1973,0.4371,0.0878117,0.2936,0.3402,-0.152543,-0.0963,32,34,-2,0,0.4641,0.801689,1
NE,2025,1416.43,-1.4645,-3.04197,0.00816417,0.00816417,-0.0662,-0.0071,-0.231529,0.1054,0.4396,-0.306992,-0.1716,13,20,-7,0,0.2648,0.938789,0
CLE,2025,1397.72,4.1857,-3.79028,0.787973,0.787973,-0.1117,-0.0409,-0.0747177,-0.0923,-0.0144,-0.217519,-0.0194,16,17,-1,0,0.4641,0.540002,0
TEN,2025,1375.22,-3.5959,-4.69048,0.142745,0.142745,-0.3062,-0.4782,-0.436988,-0.1419,-0.1914,-0.149952,-0.1642,12,20,-8,0,0.2296,0.471087,0
NYG,2025,1374.47,10.4037,-4.72054,0.0197654,0.0197654,-0.1497,-0.3079,-0.154603,0.0934,0.0455,0.244814,-0.2431,6,21,-15,0,0.0488,0.455019,0
CAR,2025,1352.61,-1.0667,-5.59465,0.00679684,0.00679684,-0.135,-0.4401,0.000796299,0.1165,0.0424,0.205693,-0.2516,10,26,-16,0,0.0941,0.662162,0
NO,2025,1346.13,-19.6524,-5.854,0.173857,0.173857,-0.1252,-0.0857,0.0364713,0.0213,0.0526,0.0429089,-0.1465,13,20,-7,0,0.2648,0.940142,0
